Employee_Name,EmpID,EmpStatusID,DeptID,PerfScoreID,PayRate,PositionID,Position,State,Zip,DOB,Gender,MaritalDesc,CitizenDesc,TermReason,EmploymentStatus,Department,ManagerName,ManagerID,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,DaysLateLast30
"Linden, Mathew",1405067565,3,5,3,22,20,Production Technician II,MA,1770,03/19/79,M ,Married,US Citizen,N/A - still employed,Leave of Absence,Production       ,Kelley Spirea,18,Information Session,Fully Meets,4,,0,0
"Moran, Patrick",1408069503,3,5,3,,20,Production Technician II,MA,2127,12-03-1976,M ,Single,US Citizen,N/A - still employed,Leave of Absence,Production       ,Kelley Spirea,18,Diversity Job Fair,Fully Meets,2.5,4,0,0
"Sahoo, Adil",1106026462,1,5,3,29,20,Production Technician II,MA,2062,04/26/86,M ,Married,US Citizen,N/A - still employed,Active,Production       ,Kelley Spirea,18,Monster.com,Fully Meets,,,0,0
"Burkett, Benjamin ",1301052449,1,5,3,26,20,Production Technician II,MA,1890,08/19/77,M ,Married,US Citizen,N/A - still employed,Active,Production       ,Ketsia Liebig,19,Careerbuilder,Fully Meets,3.25,5,0,0
"Foreman, Tanya",1012023204,5,5,3,24,20,Production Technician II,MA,2170,11-08-1983,F,Married,,career change,Voluntarily Terminated,Production       ,Ketsia Liebig,19,Word of Mouth,Fully Meets,,3,0,
"Jeannite, Tayana",1008020942,1,5,4,22.5,20,Production Technician II,MA,1821,11-06-1986,F,Divorced,US Citizen,N/A - still employed,Active,Production       ,Ketsia Liebig,19,MBTA ads,Exceeds,4.6,4,0,3
"McCarthy, Brigit",1406067957,1,5,3,26,20,Production Technician II,MA,2149,05/21/87,F,Single,US Citizen,N/A - still employed,Active,Production       ,Ketsia Liebig,19,Newspager/Magazine,Fully Meets,5,5,0,0
"Peters, Lauren",1411071406,5,5,4,29,20,Production Technician II,MA,1886,08/17/86,F,Married,US Citizen,more money,Voluntarily Terminated,Production       ,Ketsia Liebig,19,,Exceeds,1.79,5,0,
"Walker, Roger",1011022818,1,5,3,22,20,Production Technician II,MA,2459,02-10-1976,M ,Single,US Citizen,N/A - still employed,Active,Production       ,Ketsia Liebig,19,Employee Referral,Fully Meets,3.11,5,0,0
"Akinkuolie, Sarah",1005019209,5,5,3,29,20,Production Technician II,MA,1810,09/19/88,F,Married,US Citizen,hours,Voluntarily Terminated,Production       ,Kissy Sullivan,20,Newspager/Magazine,Fully Meets,3.02,3,0,
"Davis, Daniel",1201031274,1,5,3,,20,Production Technician II,MA,2458,09/14/79,M ,Single,,N/A - still employed,Active,Production       ,Kissy Sullivan,20,Newspager/Magazine,Fully Meets,3.96,4,0,0
"Gosciminski, Phylicia  ",1108028351,3,5,3,27,20,Production Technician II,MA,1824,12-08-1983,,Separated,US Citizen,N/A - still employed,Leave of Absence,Production       ,Kissy Sullivan,20,Word of Mouth,Fully Meets,2.57,,0,0
"Latif, Mohammed",1104025486,5,5,3,28,20,Production Technician II,MA,2126,05-09-1984,M ,Married,US Citizen,more money,Voluntarily Terminated,Production       ,Kissy Sullivan,20,Word of Mouth,Fully Meets,1.84,3,0,
"Monterro, Luisa",1001103149,1,5,4,25,20,Production Technician II,MA,2126,04/24/70,F,Single,US Citizen,N/A - still employed,Active,Production       ,Kissy Sullivan,20,Billboard,Exceeds,2.55,3,0,0
"Robertson, Peter",1499902991,5,5,3,22,20,Production Technician II,MA,2138,07-03-1972,M ,Married,US Citizen,Another position,Voluntarily Terminated,Production       ,Kissy Sullivan,20,Glassdoor,Fully Meets,,5,0,
"Woodson, Jason",1012023010,1,5,3,24.25,20,Production Technician II,MA,1810,05-11-1985,M ,Single,US Citizen,N/A - still employed,Active,Production       ,Kissy Sullivan,20,Vendor Referral,Fully Meets,4.07,4,0,4
"Blount, Dianna",1403066125,1,5,2,27,20,Production Technician II,MA,2171,09/21/90,F,Single,US Citizen,N/A - still employed,Active,Production       ,Michael Albert,22,Monster.com,Needs Improvement,1.16,3,0,0
"Erilus, Angela",1105025661,1,5,1,24,20,Production Technician II,MA,2133,08/25/89,F,Separated,US Citizen,N/A - still employed,Active,Production       ,Michael Albert,22,Pay Per Click - Google,PIP,4.59,,0,0
"Homberger, Adrienne  J",1207046956,5,5,3,28,20,Production Technician II,MA,2445,02/16/84,F,Married,,relocation out of area,Voluntarily Terminated,Production       ,Michael Albert,30,Glassdoor,Fully Meets,3.03,5,0,
"Lundy, Susan",1305056276,5,5,3,,20,Production Technician II,MA,2122,12/26/76,,Widowed,US Citizen,more money,Voluntarily Terminated,Production       ,Michael Albert,22,On-campus Recruiting,Fully Meets,4.65,,0,
"Moumanil, Maliki ",1301052436,1,5,3,29,20,Production Technician II,MA,1460,12-01-1974,M ,Separated,US Citizen,N/A - still employed,Active,Production       ,Michael Albert,22,On-campus Recruiting,Fully Meets,4.29,5,0,0
"Sloan, Constance",1012023103,5,5,3,23,20,Production Technician II,MA,1851,11/25/87,F,Single,US Citizen,maternity leave - did not return,Voluntarily Terminated,Production       ,Michael Albert,22,,Fully Meets,4.68,,0,
"Buccheri, Joseph  ",1101023457,1,5,3,22,20,Production Technician II,MA,1013,07/28/83,M ,Single,US Citizen,N/A - still employed,Active,Production       ,Webster Butler,,Word of Mouth,Fully Meets,3.19,3,0,4
"Fancett, Nicole",1402065085,1,5,3,24,20,Production Technician II,MA,2324,09/27/87,F,Single,US Citizen,N/A - still employed,Active,Production       ,Webster Butler,,Newspager/Magazine,Fully Meets,,4,0,0
"Hutter, Rosalie",1103024924,2,5,3,28,20,Production Technician II,MA,2351,05-07-1992,F,Separated,,N/A - Has not started yet,Future Start,Production       ,Webster Butler,,Other,Fully Meets,2.63,3,0,0
"Manchester, Robyn",1110029623,2,5,3,23,20,Production Technician II,MA,2324,08/25/76,F,Married,US Citizen,N/A - Has not started yet,Future Start,Production       ,Webster Butler,,Vendor Referral,Fully Meets,5,,0,0
"Oliver, Brooke ",1001856521,5,5,3,,20,Production Technician II,MA,2492,02-11-1952,,Married,US Citizen,unhappy,Voluntarily Terminated,Production       ,Webster Butler,39,Newspager/Magazine,Fully Meets,5,3,0,
"Thibaud, Kenneth",1011022777,5,5,3,23,20,Production Technician II,MA,2472,09/16/75,,Widowed,US Citizen,military,Voluntarily Terminated,Production       ,Webster Butler,39,Pay Per Click - Google,Fully Meets,1.37,4,0,
"Daneault, Lynn",1402065303,1,6,3,54,21,Sales Manager,VT,5473,04/19/90,F,Single,US Citizen,N/A - still employed,Active,Sales,Debra Houlihan,15,Pay Per Click - Google,Fully Meets,4.62,4,0,4
"Kampew, Donysha",1109029264,5,6,3,60.25,21,Sales Manager,PA,19444,11-11-1989,F,Single,US Citizen,maternity leave - did not return,Voluntarily Terminated,Sales,Debra Houlihan,15,Social Networks - Facebook Twitter etc,Fully Meets,1.9,5,0,
"Smith, John",1499902910,1,6,2,56,21,Sales Manager,MA,1886,08/16/84,M ,Divorced,,N/A - still employed,Active,Sales,Debra Houlihan,15,Diversity Job Fair,Needs Improvement,1.62,4,0,0
"Le, Binh",1009919930,1,3,3,50.25,22,Senior BI Developer,MA,1886,06/14/87,F,Single,US Citizen,N/A - still employed,Active,IT/IS,Brian Champaigne,13,,Fully Meets,2.09,5,7,0
"Navathe, Kurt",1009919960,1,3,3,52.25,22,Senior BI Developer,MA,2056,04/25/70,,Single,US Citizen,N/A - still employed,Active,IT/IS,Brian Champaigne,13,Indeed,Fully Meets,,3,6,0
"Wang, Charlie",1009919970,1,3,3,51,22,Senior BI Developer,MA,1887,07-08-1981,,Single,US Citizen,N/A - still employed,Active,IT/IS,Brian Champaigne,13,Indeed,Fully Meets,3.42,4,7,0
"LeBlanc, Brandon  R",1102024115,1,1,3,55,23,Shared Services Manager,MA,1460,06-10-1984,,Married,,N/A - still employed,Active,Admin Offices,Janet King,2,Monster.com,Fully Meets,1.95,,0,4
"Quinn, Sean",1206043417,5,1,3,55,23,Shared Services Manager,MA,2045,11-06-1984,m,Married,Eligible NonCitizen,career change,Voluntarily Terminated,Admin Offices,Janet King,2,Diversity Job Fair,Fully Meets,4.15,4,0,
"Andreola, Colby",1107027358,1,4,3,,24,Software Engineer,MA,2110,05/24/79,f,Single,US Citizen,N/A - still employed,Active,Software Engineering,Alex Sweetwater,10,Vendor Referral,Fully Meets,3.04,3,4,0
"Carabbio, Judith",1101023577,1,4,3,56,24,Software Engineer,MA,2132,04-05-1987,F,Single,US Citizen,N/A - still employed,Active,Software Engineering,Alex Sweetwater,10,Pay Per Click - Google,Fully Meets,4.96,,6,0
"Del Bosque, Keyla",1203032498,1,4,3,57.12,24,Software Engineer,MA,2176,07-05-1979,F,Single,US Citizen,N/A - still employed,Active,Software Engineering,Alex Sweetwater,10,Monster.com,Fully Meets,,5,5,0
"Exantus, Susan",1401064670,4,4,2,48.5,24,Software Engineer,MA,1749,05/15/87,F,Married,US Citizen,attendance,Terminated for Cause,Software Engineering,Alex Sweetwater,10,Billboard,Needs Improvement,2.55,5,4,
"Martin, Sandra",1303054625,1,4,3,55.51,24,Software Engineer,MA,2135,11-07-1987,F,Single,,N/A - still employed,Active,Software Engineering,Alex Sweetwater,10,,Fully Meets,1.53,5,4,4
"Patronick, Luke",1112030979,5,4,4,52.25,24,Software Engineer,MA,1844,02/20/79,m,Single,US Citizen,Another position,Voluntarily Terminated,Software Engineering,Alex Sweetwater,10,Diversity Job Fair,Exceeds,1.1,5,3,
"Saada, Adell",1012023185,1,4,3,,24,Software Engineer,MA,2132,07/24/86,F,Married,US Citizen,N/A - still employed,Active,Software Engineering,Alex Sweetwater,10,Pay Per Click - Google,Fully Meets,1.74,3,6,0
"Szabo, Andrew",1201031324,1,4,4,,24,Software Engineer,MA,2140,05-06-1983,,Single,US Citizen,N/A - still employed,Active,Software Engineering,Alex Sweetwater,10,MBTA ads,Exceeds,2.61,5,5,0
"True, Edward",1102024057,5,4,3,45.42,24,Software Engineer,MA,2451,06/14/83,M ,Single,Non-Citizen,medical issues,Voluntarily Terminated,Software Engineering,Alex Sweetwater,10,Diversity Job Fair,Fully Meets,1.11,3,4,
"Sweetwater, Alex",1001644719,1,4,3,27,25,Software Engineering Manager,MA,2184,11/22/66,M ,Single,US Citizen,N/A - still employed,Active,Software Engineering,Jennifer Zamora,5,Search Engine - Google Bing Yahoo,Fully Meets,3.84,3,5,0
"Foster-Baker, Amy",1201031308,1,1,3,34.95,26,Sr. Accountant,MA,2050,04/16/79,F,Married,US Citizen,N/A - still employed,Active,Admin Offices,Board of Directors,9,Other,Fully Meets,,,2,0
"Boutwell, Bonalyn",1307060188,1,1,3,34.95,26,Sr. Accountant,MA,2468,04-04-1987,f,Married,,N/A - still employed,Active,Admin Offices,Brandon R. LeBlanc,3,Diversity Job Fair,Fully Meets,5,4,3,3
"Ait Sidi, Karthikeyan   ",1307060199,5,3,3,,27,Sr. DBA,MA,2148,05-05-1975,M ,Married,US Citizen,career change,Voluntarily Terminated,IT/IS,Simon Roup,4,Company Intranet - Partner,Fully Meets,4.96,3,6,
"Carr, Claudia  N",1010022337,2,3,3,61.3,27,Sr. DBA,MA,1886,06-06-1986,F,Single,US Citizen,N/A - Has not started yet,Future Start,IT/IS,Simon Roup,4,Vendor Referral,Fully Meets,5,5,6,0
"Favis, Donald  ",1412071562,4,3,3,58.2,30,Enterprise Architect,CT,6033,07/30/64,,Single,US Citizen,hours,Terminated for Cause,IT/IS,Simon Roup,4,,Fully Meets,2.94,5,7,
"Roehrich, Bianca",1111030266,5,3,3,58.5,29,Principal Data Architect,MA,2703,05/27/73,f,Single,US Citizen,Another position,Voluntarily Terminated,IT/IS,Simon Roup,4,Vendor Referral,Fully Meets,3.88,,7,
"Daniele, Ann  ",1411071312,3,3,3,54.1,28,Sr. Network Engineer,CT,6033,01/18/52,F,Married,US Citizen,N/A - still employed,Leave of Absence,IT/IS,Peter Monroe,7,Vendor Referral,Fully Meets,1.55,5,8,0
"Lajiri,  Jyoti",1108028108,3,3,3,,28,Sr. Network Engineer,MA,2169,04/23/86,M ,Married,,N/A - still employed,Leave of Absence,IT/IS,Peter Monroe,7,Employee Referral,Fully Meets,4.46,5,6,0
"Semizoglou, Jeremiah  ",904013591,2,3,3,53.8,28,Sr. Network Engineer,MA,1545,02-09-1983,M ,Married,US Citizen,N/A - Has not started yet,Future Start,IT/IS,Peter Monroe,7,On-campus Recruiting,Fully Meets,3.27,4,5,0
"South, Joe",1308060959,1,3,3,53,28,Sr. Network Engineer,CT,6278,09-09-1965,,Single,US Citizen,N/A - still employed,Active,IT/IS,Peter Monroe,7,Employee Referral,Fully Meets,5,3,4,5
"Warfield, Sarah",1301052347,1,3,3,55.2,28,Sr. Network Engineer,MA,2453,05-02-1978,f,Widowed,,N/A - still employed,Active,IT/IS,Peter Monroe,7,,Fully Meets,,,8,0
